DATE    ,OPEN  ,LOW   ,HI    
20101220,297.03,294.03,298.64
20101217,295.2,293.54,295.98
20101216,296.13,293.74,296.59
20101215,296.8,294.28,297.93
20101214,298.25,295.94,298.85
20101213,298.26,296.75,301.2
20101210,296.27,294.85,296.7
20101209,296.64,294.21,297.49
20101208,295.69,291.55,295.96
20101207,295.34,292.71,296.2
20101206,289.99,288.02,290.71
20101203,284.44,283.72,287.95
20101202,284.05,282.39,286.38
20101201,281.22,280.92,285.5
20101130,286.87,276.38,286.87
20101129,294.29,289.69,294.61
20101126,294.93,293.21,296.19
20101124,293.36,293.23,298
20101123,293.21,288.81,294.21
20101122,293.44,291.08,296.42
20101119,298.2,294.87,298.65
20101118,294.21,293.99,299.69
20101117,292.21,290.39,294.46
20101116,296.08,291.43,298.65
20101115,301.24,296.73,301.7
20101112,306.69,300.3,308.14
20101111,309.54,306.8,309.62
20101110,310.73,308.45,311.19
20101109,314.68,309.94,315.11
20101108,311.7,311.25,314.43
20101105,311.28,310.24,312.43
20101104,312.01,310.74,314.65
20101103,308.44,306.44,310.6
20101102,309.03,306.98,309.69
20101101,307.56,305.3,310.02
20101029,308.23,306.19,309.19
20101028,309.71,306.34,310.19
20101027,307.58,305.86,309.69
20101026,306.24,305.21,310.3
20101025,307.49,307.18,312.06
20101022,305.65,304.72,307.1
20101021,305.45,302.7,307.69
20101020,303.77,303.45,308.38
20101019,304.12,301.13,307.1
20101018,299.97,299.97,309.54
20101015,299.34,295.5,300.52
20101014,271.82,268.29,272.35
20101013,273.23,270.89,273.47
20101012,269.79,268.63,272.72
20101011,268.97,268.32,272.03
20101008,266.12,263.55,268.53
20101007,267.84,264.31,268.33
20101006,269.36,264.71,269.7
